Scientific_Name,Common_Name,Conservation_Status,Global_Population
Nasalis larvatus,Proboscis Monkey,Endangered,20000
Manis pentadactyla,Chinese Pangolin,Critically Endangered,Unknown
Manis javanica,Sunda Pangolin,Critically Endangered,Unknown
Tapirus indicus,Malayan Tapir,Endangered,2500
Saiga tatarica,Saiga Antelope,Critically Endangered,1240000
Bison bison,American Bison,Near Threatened,500000
Neofelis nebulosa,Clouded Leopard,Vulnerable,10000
Haliaeetus leucocephalus,Bald Eagle,Least Concern,316700
Grus japonensis,Red-crowned Crane,Vulnerable,1830
Grus americana,Whooping Crane,Endangered,800
Pavo cristatus,Indian Peafowl,Least Concern,Unknown
Strigops habroptilus,Kakapo,Critically Endangered,247
Apteryx mantelli,North Island Brown Kiwi,Vulnerable,20000
Spheniscus demersus,African Penguin,Endangered,50000
Chelonia mydas,Green Sea Turtle,Endangered,Unknown
Eretmochelys imbricata,Hawksbill Sea Turtle,Critically Endangered,Unknown
Gavialis gangeticus,Gharial,Critically Endangered,300
Varanus komodoensis,Komodo Dragon,Endangered,1400
Ambystoma mexicanum,Axolotl,Critically Endangered,50
Rhincodon typus,Whale Shark,Endangered,Unknown
Carcharodon carcharias,Great White Shark,Vulnerable,Unknown
Sphyrna lewini,Scalloped Hammerhead,Critically Endangered,Unknown
Mobula birostris,Giant Oceanic Manta Ray,Endangered,Unknown
Enhydra lutris,Sea Otter,Endangered,130000
Odobenus rosmarus,Walrus,Vulnerable,225000
Monodon monoceros,Narwhal,Least Concern,170000
Physeter macrocephalus,Sperm Whale,Vulnerable,300000
Megaptera novaeangliae,Humpback Whale,Least Concern,135000
Trichechus manatus,West Indian Manatee,Vulnerable,13000
Dugong dugon,Dugong,Vulnerable,Unknown
Aquila chrysaetos,Golden Eagle,Least Concern,170000
Aquila nipalensis,Steppe Eagle,Endangered,5000
Aquila heliaca,Imperial Eagle,Vulnerable,3500
Harpia harpyja,Harpy Eagle,Near Threatened,Unknown
Stephanoaetus coronatus,Crowned Eagle,Least Concern,Unknown
Buteo buteo,Common Buzzard,Least Concern,Unknown
Buteo jamaicensis,Red-tailed Hawk,Least Concern,Unknown
Falco peregrinus,Peregrine Falcon,Least Concern,140000
Falco cherrug,Saker Falcon,Endangered,12000
Falco rusticolus,Gyrfalcon,Least Concern,Unknown
Gyps bengalensis,White-rumped Vulture,Critically Endangered,Unknown
Gyps indicus,Indian Vulture,Critically Endangered,Unknown
Sarcogyps calvus,Red-headed Vulture,Critically Endangered,Unknown
Neophron percnopterus,Egyptian Vulture,Endangered,Unknown
Aegypius monachus,Cinereous Vulture,Near Threatened,Unknown
Strix aluco,Tawny Owl,Least Concern,1100000
Bubo bubo,Eurasian Eagle-owl,Least Concern,250000
Bubo scandiacus,Snowy Owl,Vulnerable,Unknown
Tyto alba,Barn Owl,Least Concern,5000000
Athene noctua,Little Owl,Least Concern,Unknown
Ninox scutulata,Brown Hawk-owl,Least Concern,Unknown
Ara macao,Scarlet Macaw,Least Concern,200000
Ara ararauna,Blue-and-yellow Macaw,Least Concern,Unknown
Anodorhynchus hyacinthinus,Hyacinth Macaw,Vulnerable,4300
Cacatua galerita,Sulphur-crested Cockatoo,Least Concern,Unknown
Cacatua alba,White Cockatoo,Endangered,Unknown
Nymphicus hollandicus,Cockatiel,Least Concern,Unknown
Psittacus erithacus,African Grey Parrot,Endangered,Unknown
Poicephalus senegalus,Senegal Parrot,Least Concern,Unknown
Psittacula krameri,Rose-ringed Parakeet,Least Concern,Unknown
Melopsittacus undulatus,Budgerigar,Least Concern,Unknown
Pavo muticus,Green Peafowl,Endangered,15000
Phasianus colchicus,Common Pheasant,Least Concern,Unknown
Lophophorus impejanus,Himalayan Monal,Least Concern,Unknown
Lophura leucomelanos,Kalij Pheasant,Least Concern,Unknown
Gallus gallus,Red Junglefowl,Least Concern,Unknown
Grus antigone,Sarus Crane,Vulnerable,15000
Grus grus,Common Crane,Least Concern,Unknown
Leucogeranus leucogeranus,Siberian Crane,Critically Endangered,3500
Ciconia nigra,Black Stork,Least Concern,Unknown
Ciconia ciconia,White Stork,Least Concern,Unknown
Leptoptilos dubius,Greater Adjutant,Endangered,1200
Mycteria leucocephala,Painted Stork,Near Threatened,20000
Ardea alba,Great Egret,Least Concern,Unknown
Ardea cinerea,Gray Heron,Least Concern,Unknown
Threskiornis melanocephalus,Black-headed Ibis,Least Concern,Unknown
Platalea leucorodia,Eurasian Spoonbill,Least Concern,Unknown
Phoenicopterus roseus,Greater Flamingo,Least Concern,Unknown
Phoenicopterus minor,Lesser Flamingo,Near Threatened,Unknown
Cygnus olor,Mute Swan,Least Concern,Unknown
Cygnus cygnus,Whooper Swan,Least Concern,Unknown
Anser anser,Greylag Goose,Least Concern,Unknown
Anas platyrhynchos,Mallard,Least Concern,Unknown
Tadorna ferruginea,Ruddy Shelduck,Least Concern,Unknown
Aythya ferina,Common Pochard,Vulnerable,Unknown
Aptenodytes patagonicus,King Penguin,Least Concern,Unknown
Eudyptula minor,Little Penguin,Least Concern,Unknown
Pygoscelis adeliae,Adelie Penguin,Least Concern,Unknown
Diomedea exulans,Wandering Albatross,Vulnerable,8000
Phoebastria albatrus,Short-tailed Albatross,Vulnerable,7000
Fregata magnificens,Magnificent Frigatebird,Least Concern,Unknown
Pelecanus crispus,Dalmatian Pelican,Near Threatened,10000
Pelecanus onocrotalus,Great White Pelican,Least Concern,Unknown
Alcedo atthis,Common Kingfisher,Least Concern,Unknown
Upupa epops,Eurasian Hoopoe,Least Concern,Unknown
Corvus splendens,House Crow,Least Concern,Unknown
Corvus corax,Common Raven,Least Concern,Unknown
Pica pica,Eurasian Magpie,Least Concern,Unknown
Acridotheres tristis,Common Myna,Least Concern,Unknown
Gracula religiosa,Common Hill Myna,Least Concern,Unknown
Turdus merula,Eurasian Blackbird,Least Concern,Unknown
Passer domesticus,House Sparrow,Least Concern,Unknown
Motacilla alba,White Wagtail,Least Concern,Unknown
Pycnonotus cafer,Red-vented Bulbul,Least Concern,Unknown
Copsychus saularis,Oriental Magpie-Robin,Least Concern,Unknown
Columba livia,Rock Dove,Least Concern,Unknown
Streptopelia chinensis,Spotted Dove,Least Concern,Unknown
Buceros bicornis,Great Hornbill,Vulnerable,Unknown
Anthracoceros coronatus,Malabar Pied Hornbill,Least Concern,Unknown
Rhinoplax vigil,Helmeted Hornbill,Critically Endangered,Unknown
Picus canus,Grey-headed Woodpecker,Least Concern,Unknown
Dinopium benghalense,Black-rumped Flameback,Least Concern,Unknown
Megalaima haemacephala,Coppersmith Barbet,Least Concern,Unknown
Centropus sinensis,Greater Coucal,Least Concern,Unknown
Eudynamys scolopaceus,Asian Koel,Least Concern,Unknown
Nisaetus cirrhatus,Changeable Hawk-Eagle,Least Concern,Unknown
Ichthyophaga ichthyaetus,Grey-headed Fish Eagle,Near Threatened,Unknown
Haliastur indus,Brahminy Kite,Least Concern,Unknown
Milvus migrans,Black Kite,Least Concern,Unknown
Ictinaetus malaiensis,Black Eagle,Least Concern,Unknown
Pernis ptilorhynchus,Crested Honey Buzzard,Least Concern,Unknown
Leptoptilos javanicus,Lesser Adjutant,Vulnerable,5000
Grus virgo,Demoiselle Crane,Least Concern,Unknown
Vanellus indicus,Red-wattled Lapwing,Least Concern,Unknown
Charadrius dubius,Little Ringed Plover,Least Concern,Unknown
Tringa nebularia,Common Greenshank,Least Concern,Unknown
Sterna hirundo,Common Tern,Least Concern,Unknown
Larus argentatus,European Herring Gull,Least Concern,Unknown
